*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung
"SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14","SFPv [kW/(m³/s)]: 0,14"
"Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20","Stromaufnahme [A]: 0,20"
Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor
Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5
Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:
Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120,Leistungsaufnahme [W]: 120
"SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45","SFPv [kW/(m³/s)]: 0,45"
"Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09","Stromaufnahme [A]: 1,09"
Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:,Steuerspannung EC Motor Kühlen der Luft:
"Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63","Lufttemp. Eintritt [°C]: 24,0 63"
Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:,Luftfeuchte Eintritt [%]:
Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt,Kühlmedium: Wasser Medium Temp. Eintritt
[°C]:,[°C]:,[°C]:,[°C]:,[°C]:,[°C]:,[°C]:,[°C]:,[°C]:,[°C]:,[°C]:,[°C]:,[°C]:
"12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A","12,0 Medium Temp. Austritt [°C]: 18,0 Eurovent Energieklasse: A"
Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:,Fan Coil Energy Efficiency Ratio:
Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1
Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:
"17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:","17,0 Luftfeuchte Austritt [%]:"
"Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1","Kondensatmenge [g/kg]: 0,4 0,1"
Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:,Kondensatmenge [l/h]: Massenstrom [kg/h]:
100,100,100,100,100,100,100,100,100,100,100,100,100
Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:,Druckverlust WT [kPa]: Kühlleistung ges. [kW]:
"0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61","0,64 0,69 Kühlleistung sens. [kW]: 0,61"
3 Austritt,3 Austritt,3 Austritt,3 Austritt,3 Austritt,3 Austritt,3 Austritt,3 Austritt,3 Austritt,3 Austritt,3 Austritt,3 Austritt,3 Austritt
Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:,Drehzahlstufe: Lufttemp. [°C]:
"17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:","17,7 Luftfeuchte Austritt [%]:"
"93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3","93 Kondensatmenge [g/kg]: 0,3"
"Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1","Kondensatmenge [l/h]: 0,1"
Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:,Massenstrom [kg/h]: 165 Druckverlust WT [kPa]:
"1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:","1,55 Kühlleistung ges. [kW]: 1,14 Kühlleistung sens. [kW]:"
"1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5","1,04 Drehzahlstufe: 5"
Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:,Kühlen der Luft:
Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:,Lufttemp. Austritt [°C]:
